"filename", "language", "JSON", "JavaScript", "CSS", "PHP", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\app\Service\DeleteRulesService.php", "PHP", 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\app\Traits\ApiResponser.php", "PHP", 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\bootstrap\app.php", "PHP", 0, 0, 0, 17, 0, 0, 30, 9, 56
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\composer.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\composer.lock", "JSON", 9222, 0, 0, 0, 0, 0, 0, 1, 9223
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\app.php", "PHP", 0, 0, 0, 27, 0, 0, 131, 31, 189
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\auth.php", "PHP", 0, 0, 0, 32, 0, 0, 74, 14, 120
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\broadcasting.php", "PHP", 0, 0, 0, 36, 0, 0, 23, 13, 72
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\cache.php", "PHP", 0, 0, 0, 59, 0, 0, 34, 19, 112
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\cors.php", "PHP", 0, 0, 0, 3, 0, 0, 29, 3, 35
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\database.php", "PHP", 0, 0, 0, 83, 0, 0, 47, 22, 152
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\filesystems.php", "PHP", 0, 0, 0, 32, 0, 0, 32, 13, 77
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\hashing.php", "PHP", 0, 0, 0, 12, 0, 0, 32, 9, 53
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\logging.php", "PHP", 0, 0, 0, 79, 0, 0, 34, 19, 132
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\mail.php", "PHP", 0, 0, 0, 54, 0, 0, 53, 19, 126
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\queue.php", "PHP", 0, 0, 0, 51, 0, 0, 42, 17, 110
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\sanctum.php", "PHP", 0, 0, 0, 15, 0, 0, 41, 12, 68
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\services.php", "PHP", 0, 0, 0, 17, 0, 0, 11, 7, 35
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\session.php", "PHP", 0, 0, 0, 22, 0, 0, 147, 33, 202
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\config\view.php", "PHP", 0, 0, 0, 10, 0, 0, 20, 7, 37
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\factories\CardsPlaceFactory.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\factories\FinalProductFactory.php", "PHP", 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\factories\PlaceChoicesFactory.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\factories\ProductsCardFactory.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\factories\UserFactory.php", "PHP", 0, 0, 0, 21, 0, 0, 11, 5, 37
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 0, 21, 0, 0, 6, 4, 31
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 0, 19, 0, 0, 6, 4, 29
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 0, 23, 0, 0, 6, 4, 33
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 24, 0, 0, 6, 4, 34
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_10_30_170526_create_final_products_table.php", "PHP", 0, 0, 0, 21, 0, 0, 6, 4, 31
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_10_30_170605_create_products_cards_table.php", "PHP", 0, 0, 0, 23, 0, 0, 7, 6, 36
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_10_30_170618_create_cards_places_table.php", "PHP", 0, 0, 0, 21, 0, 0, 7, 6, 34
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_10_30_170629_create_place_choices_table.php", "PHP", 0, 0, 0, 22, 0, 0, 7, 5, 34
